;Date;Open;High;Low;Close;Adj Close;Volume
0;5/04/2019;196;197;196;197;194;18526600
1;8/04/2019;196;200;196;200;198;25881700
2;9/04/2019;200;203;199;200;197;35768200
3;10/04/2019;199;201;198;201;198;21695300
4;11/04/2019;201;201;198;199;196;20900800
